id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
16328372,Room In Bed-Stuy Apartment,68547639,Darren,Brooklyn,Bedford-Stuyvesant,Private room,40,30,0
12950979,1BR Apt. in Inwood (Manhattan),71152156,Max,Manhattan,Inwood,Entire home/apt,50,30,1
29756137,1 bedroom Apartment.,215041024,Ife,Queens,Edgemere,Entire home/apt,70,4,5
46480702,NYC Apartment Steps Away From the East River,87601935,Bilal,Manhattan,Upper East Side,Entire home/apt,60,180,0
49011005,"NYC Vacay! Comfy Unit, Restaurant, Rooftop Bar!",5615582,RoomPicks,Manhattan,Midtown,Private room,310,1,0
4299536,10 Minutes to Manhattan,17164818,Victoria,Brooklyn,Clinton Hill,Entire home/apt,170,6,45
42686626,"Cozy Private Room, Walking Distance From LGA,Rm-7",187822288,Zahir,Queens,East Elmhurst,Private room,50,1,98
30801068,Spacious bedroom in a quiet commuter town.,137358866,Kaz,Queens,Woodside,Private room,49,30,9
42890276,Bright and Sunny Studio in Soho!!,285727534,Karishma,Manhattan,Nolita,Entire home/apt,180,30,0
16625310,Lovely BedStuy apartment w/ young professionals.,6025804,Vero,Brooklyn,Bedford-Stuyvesant,Private room,29,30,0
28941290,"Full apartment in Brooklyn, steps to the Q!",1540188,Rachel,Brooklyn,Sheepshead Bay,Entire home/apt,100,2,3
37826179,Beautiful Studio in Prime East Village,286310789,Raanan,Manhattan,East Village,Entire home/apt,95,30,0
43451346,"Entire Brooklyn Loft-Style Apartment, Sanitized",88397174,Auriana,Brooklyn,Downtown Brooklyn,Entire home/apt,191,30,0
25484515,Your Home away from Home,192335868,Johnnet,Bronx,Edenwald,Private room,125,30,11
94209,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,503800,Peace,Brooklyn,Crown Heights,Entire home/apt,101,1,10
27700747,Beach-side basement media room,145245549,Dawid,Staten Island,New Dorp Beach,Private room,65,3,29
46005473,Artist House,74054267,Bryan,Brooklyn,Bedford-Stuyvesant,Private room,75,1,0
45143238,Promise you a comfortable luxurious ☆☆☆ experience,364572188,Ingrid,Brooklyn,East Flatbush,Entire home/apt,80,13,6
9652413,1 Bedroom Near Columbia/Morningside,17065519,Chelsea,Manhattan,Harlem,Entire home/apt,89,30,1
42904989,Cozy 1 Bedroom Soho/Village,23792039,Hale,Manhattan,SoHo,Entire home/apt,140,30,5
33688029,"Cozy, Friendly Apt Share for Young Professionals",253836845,Ollie,Brooklyn,Crown Heights,Private room,70,30,6
19545851,Brooklyn Living,137293453,Remi,Brooklyn,Crown Heights,Private room,35,30,1
45591558,"@FERRY, Private&Cozy Room, Renovated&Stylish.",117492425,Dine,Staten Island,St. George,Private room,39,3,2
48693094,Private Bedroom in Greenpoint!,376019690,Brookline,Brooklyn,Greenpoint,Private room,40,30,0
7264263,Beautiful classic NYC studio,5030772,Jessica,Manhattan,Upper East Side,Entire home/apt,120,30,13
51141168,Cozy GetAway In Broadway 443,401202937,Marlin,Manhattan,Midtown,Private room,134,1,0
40091096,Studio in NYC (Times Square),4117834,Johmary,Manhattan,Hell's Kitchen,Entire home/apt,100,30,1
21752471,Cozy Attic Studio with Century-Old Charm,31583052,Sarah,Brooklyn,South Slope,Entire home/apt,75,30,3
3262930,Cosy room with private bathroom-NYC,16500110,Irena,Manhattan,Upper East Side,Private room,140,3,139
23612855,"Bookish apt near City College, Columbia University",99256824,Amy,Manhattan,Harlem,Entire home/apt,250,30,0
42438973,La Sienna Beautiful Prewar Brownstone Studio,1171497,Yvette,Manhattan,Harlem,Entire home/apt,133,3,32
49610794,"One Bedroom in Chic Downtown Location, Great Amenities",22541573,Ken,Manhattan,Midtown,Entire home/apt,295,45,0
33745548,Midtown West Hotel - Hudson Twin Single,252604696,Midtown West,Manhattan,Chelsea,Private room,178,30,6
4091823,Central Park is Steps Away,12646225,Braham,Manhattan,Upper West Side,Entire home/apt,175,30,8
150989,"Sunlit 1 bedroom apt: Williamsburg, Brooklyn",727084,Daniela,Brooklyn,Williamsburg,Entire home/apt,120,30,18
45407980,Perfect Brooklyn Oasis,92588965,Kam,Brooklyn,Cypress Hills,Entire home/apt,171,2,29
41274497,Cozy bedroom in Little Italy,223231253,Christy,Manhattan,Chinatown,Private room,150,30,1
49775120,Queen studio Suite,4852748,Michelle,Manhattan,Harlem,Entire home/apt,129,3,1
19344708,"City Retrieve3. Twin bed, lovely, simple",3542562,Hana,Manhattan,Harlem,Private room,42,31,1
23484328,BEAUTIFUL SUNNY ROOM!,6047516,Fejir,Brooklyn,Bushwick,Private room,25,30,0
21956264,Beautiful bed bed room,110346058,Shirley,Queens,South Ozone Park,Private room,53,1,57
6543581,Dreamy Luxury Penthouse w/ Terrace,2436695,Jerome,Manhattan,Chelsea,Entire home/apt,350,30,0
49436100,Spectacular Views 2 Beds 2Baths by Columbus Circle,2867137,Avi,Manhattan,Midtown,Entire home/apt,325,30,0
46820825,Private room in Astoria,92904178,Eren,Queens,Long Island City,Entire home/apt,100,5,0
42800812,Your access to New York,340910893,Mabel,Queens,Bayswater,Private room,45,30,3
16268350,Cozy Bedstuy Brownstone,104626152,Nikki,Brooklyn,Bedford-Stuyvesant,Entire home/apt,432,30,1
19098733,Efficient W. Chelsea Studio! Ask for shorter stay!,82920107,Zach,Manhattan,Chelsea,Entire home/apt,88,30,1
47307350,Prime Upper East Side Studio Close to Central Park,305240193,June,Manhattan,Upper East Side,Entire home/apt,113,30,0
50733368,Heavily Discounted 3-bedroom NYC Apartment,409986576,Addy,Manhattan,East Village,Private room,25,30,0
29489893,Beautiful Private Studio w/ backyard for 2 guests,222098649,Melissa,Queens,Jamaica,Entire home/apt,110,1,213
45688536,Sonder at Battery Park | Downtown 1BR | Discounted Rates,219517861,Sonder (NYC),Manhattan,Financial District,Entire home/apt,414,2,13
22120170,Cozy apartment,161599491,Victor,Brooklyn,Borough Park,Shared room,50,30,7
46464801,3BR Apartment & 4 bathrooms with a backyard,375864182,Dariia & Jacob,Brooklyn,Bedford-Stuyvesant,Entire home/apt,157,30,0
2863589,Entire Private Modern Studio UWS Manhattan,3716641,Ofer,Manhattan,Upper West Side,Entire home/apt,99,30,26
42484276,Best location In Williamsburg!!!!!,322248050,Nestor,Brooklyn,Williamsburg,Entire home/apt,86,30,0
49294534,Pristine Studio in the East Village with Cool Art,380601266,Jeremy,Manhattan,East Village,Entire home/apt,125,60,1
9093358,2 bedroom apt on Upper East Side,8093077,Annie,Manhattan,Upper East Side,Entire home/apt,100,30,3
34251990,private room in Great location in Hells kitchen,32615118,Taylor,Manhattan,Upper West Side,Private room,80,3,5
25296394,NYC Hideaway Urban Suite,191085997,Christopher,Bronx,Pelham Bay,Entire home/apt,195,2,5
15798809,"Private, Comfortable and Big Room89",102218558,Luz Dary,Queens,Jackson Heights,Private room,90,30,60
1370405,NEW Stylish + Clean Basement Studio Suite - BKLYN!,697442,Chris And Zach,Brooklyn,East Flatbush,Entire home/apt,68,3,296
31388864,Bushwick Luxury Room with Private Bath,195034974,Annie,Brooklyn,Bushwick,Private room,40,30,0
