,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
157,Mike Muscala,C,28,OKC,2,0,20,1.8,3.6,.500,1.8,1.8,1.000,0.0,1.8,.000,0.0,0.0,,0.0,7.2,7.2,1.8,0.0,0.0,0.0,3.6,5.4
158,Abdel Nader,SF,26,OKC,3,0,25,1.4,10.1,.143,1.4,7.2,.200,0.0,2.9,.000,1.4,2.9,.500,1.4,2.9,4.3,0.0,1.4,2.9,0.0,1.4,5.8
159,Raul Neto,PG,27,PHI,2,0,26,4.2,12.5,.333,2.8,6.9,.400,1.4,5.5,.250,0.0,0.0,,0.0,4.2,4.2,4.2,1.4,0.0,1.4,0.0,11.1
160,Georges Niang,PF,26,UTA,7,0,114,6.9,13.9,.500,3.8,9.2,.414,3.2,4.7,.667,0.6,0.6,1.000,1.3,3.5,4.7,1.3,0.0,0.3,0.6,2.8,18.3
161,Joakim Noah,C,34,LAC,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Nerlens Noel,C,25,OKC,7,0,97,3.0,6.3,.471,0.0,0.4,.000,3.0,5.9,.500,1.9,3.7,.500,1.9,8.9,10.8,1.1,0.7,1.9,0.7,5.6,7.8
163,Kendrick Nunn,SG,24,MIA,15,0,239,5.4,13.9,.391,1.8,6.5,.279,3.6,7.4,.490,1.2,1.2,1.000,0.5,4.4,4.8,3.0,0.5,0.5,1.8,3.2,13.9
164,Jusuf Nurkić,C,25,POR,5,5,161,5.6,12.7,.439,0.7,2.5,.273,4.9,10.3,.478,4.0,5.1,.783,3.1,8.5,11.6,4.0,1.6,0.2,2.9,4.7,15.9
165,Royce O'Neale,PF,26,UTA,7,7,249,1.9,4.6,.406,1.4,3.2,.455,0.4,1.4,.300,0.4,0.9,.500,0.4,5.1,5.5,2.7,1.3,0.3,1.9,3.6,5.6
166,Kyle O'Quinn,C,29,PHI,1,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.0,6.0,6.0,0.0,0.0,12.0,18.0,0.0
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Semi Ojeleye,PF,25,BOS,13,0,122,2.1,8.3,.250,1.5,6.8,.217,0.6,1.5,.400,0.6,0.6,1.000,0.6,3.0,3.5,0.3,0.9,0.0,0.3,2.7,6.2
169,Victor Oladipo,SG,27,IND,4,4,123,6.4,16.4,.393,3.5,9.7,.364,2.9,6.7,.435,4.4,4.7,.938,0.0,3.8,3.8,2.9,2.6,0.0,4.1,4.1,20.8
170,Kelly Olynyk,C,28,MIA,17,0,258,6.3,13.3,.474,2.4,6.8,.347,3.9,6.4,.609,3.2,3.9,.821,1.8,9.2,11.0,2.7,0.6,1.1,1.8,4.9,18.1
171,Miye Oni,SG,22,UTA,2,0,14,7.7,15.4,.500,2.6,10.3,.250,5.1,5.1,1.000,0.0,0.0,,5.1,5.1,10.3,0.0,2.6,2.6,2.6,5.1,18.0
172,Patrick Patterson,PF,30,LAC,2,0,10,10.8,10.8,1.000,10.8,10.8,1.000,0.0,0.0,,0.0,0.0,,0.0,3.6,3.6,14.4,0.0,0.0,0.0,3.6,32.4
173,Chris Paul,PG,34,OKC,7,7,261,7.6,15.4,.491,2.2,5.9,.372,5.4,9.5,.565,3.2,3.6,.885,0.4,6.8,7.2,5.1,1.5,0.4,3.2,2.5,20.6
174,Norvel Pelle,C,26,PHI,1,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.1,5.1,0.0,0.0,0.0
175,Mason Plumlee,C,29,DEN,19,0,206,3.3,6.8,.487,0.0,0.2,.000,3.3,6.6,.500,1.4,2.1,.667,5.4,5.2,10.7,4.4,0.7,1.4,1.9,7.0,8.0
176,Vincent Poirier,C,26,BOS,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
177,Michael Porter Jr.,PF,21,DEN,19,3,451,6.2,13.1,.476,2.7,7.1,.382,3.5,6.0,.587,2.1,2.8,.743,1.7,8.5,10.1,1.3,1.0,0.5,2.0,3.4,17.2
178,Kristaps Porziņģis,PF,24,DAL,3,3,94,8.0,15.3,.525,3.4,6.5,.529,4.6,8.8,.522,7.7,8.8,.870,1.1,8.8,10.0,0.8,0.0,1.1,1.1,3.4,27.2
179,Norman Powell,SG,26,TOR,11,0,273,6.7,13.7,.490,2.9,6.9,.423,3.8,6.9,.558,3.0,3.8,.793,0.5,2.9,3.4,1.5,0.8,0.4,1.5,3.8,19.4
180,Josh Reaves,SG,22,DAL,2,0,9,4.0,12.0,.333,0.0,4.0,.000,4.0,8.0,.500,8.0,8.0,1.000,0.0,8.0,8.0,4.0,0.0,4.0,4.0,4.0,16.0
181,Josh Richardson,SG,26,PHI,4,4,144,5.0,14.0,.357,2.5,7.0,.357,2.5,7.0,.357,4.2,4.5,.944,1.0,2.7,3.7,3.2,0.5,0.5,2.0,3.0,16.7
182,Austin Rivers,SG,27,HOU,12,0,211,3.2,10.4,.311,1.5,6.0,.257,1.7,4.4,.385,1.7,2.2,.769,0.3,4.8,5.1,2.7,1.2,0.2,1.4,3.8,9.7
183,Andre Roberson,SG,28,OKC,1,0,3,0.0,12.0,.000,0.0,12.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
184,Duncan Robinson,SG,25,MIA,21,21,600,4.5,10.6,.426,3.7,9.4,.397,0.8,1.2,.650,2.0,2.3,.868,0.3,3.2,3.5,2.3,0.8,0.4,1.0,3.9,14.7
185,Rajon Rondo,PG,33,LAL,16,0,395,5.0,11.0,.455,1.8,4.6,.400,3.2,6.5,.493,1.2,1.7,.684,1.2,5.1,6.3,9.6,2.0,0.2,3.1,3.3,13.0
186,Terrence Ross,SG,28,ORL,5,0,135,8.0,17.1,.469,2.7,8.0,.333,5.3,9.1,.588,3.2,3.7,.857,0.3,5.6,5.9,1.3,1.1,0.3,2.1,3.7,21.9
187,JaKarr Sampson,SF,26,IND,4,0,50,7.2,11.5,.625,0.0,0.0,,7.2,11.5,.625,0.0,0.0,,0.7,8.6,9.4,2.9,1.4,0.0,1.4,7.2,14.4
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
