,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
593,Khyri Thomas,SG,23,DET,8,0,61,3.0,10.0,.294,3.0,8.3,.357,0.0,1.8,.000,1.2,2.4,.500,0.6,0.0,0.6,1.8,1.8,0.0,1.8,5.3,10.0
594,Lance Thomas,SF,31,BRK,7,4,98,2.9,8.4,.348,1.5,4.8,.308,1.5,3.7,.400,1.5,1.5,1.000,0.7,4.0,4.8,2.2,0.0,0.0,2.2,4.0,8.8
595,Matt Thomas,SG,25,TOR,41,1,440,6.0,12.3,.487,3.8,8.1,.475,2.1,4.2,.510,0.7,1.0,.750,0.7,4.3,5.0,1.8,0.8,0.1,1.3,3.1,16.5
596,Tristan Thompson,C,28,CLE,57,51,1721,6.0,11.8,.512,0.2,0.5,.391,5.8,11.3,.518,2.1,3.4,.615,4.7,7.3,12.1,2.5,0.7,1.0,2.2,2.6,14.3
597,Sindarius Thornwell,SG,25,NOP,2,0,35,6.2,11.3,.545,2.1,4.1,.500,4.1,7.2,.571,2.1,4.1,.500,0.0,4.1,4.1,4.1,1.0,1.0,2.1,2.1,16.5
598,Matisse Thybulle,SG,22,PHI,65,14,1287,3.1,7.4,.423,1.6,4.4,.357,1.6,3.0,.519,0.7,1.1,.610,1.2,1.8,3.0,2.2,2.6,1.3,1.4,3.9,8.5
599,Anthony Tolliver,PF,34,TOT,55,13,872,2.7,7.5,.357,2.0,6.0,.338,0.7,1.5,.432,0.9,1.2,.724,1.4,5.0,6.4,1.7,0.8,0.5,1.4,3.1,8.3
600,Anthony Tolliver,PF,34,POR,33,9,554,2.8,7.6,.368,1.9,5.8,.337,0.8,1.8,.464,0.8,1.2,.684,1.8,5.4,7.1,1.9,0.5,0.6,1.4,3.5,8.4
601,Anthony Tolliver,PF,34,SAC,9,0,82,1.3,7.5,.176,0.9,6.6,.133,0.4,0.9,.500,0.4,0.9,.500,0.9,4.0,4.8,1.3,1.8,0.4,1.8,2.6,4.0
602,Anthony Tolliver,PF,34,MEM,13,4,236,2.9,7.3,.396,2.6,6.3,.415,0.3,1.1,.286,1.1,1.2,.875,0.8,4.3,5.0,1.5,1.1,0.2,1.4,2.1,9.5
603,Juan Toscano-Anderson,SF,26,GSW,13,6,272,3.8,8.3,.460,1.1,3.0,.348,2.8,5.3,.525,0.4,0.7,.600,1.2,5.7,6.9,3.4,1.7,0.7,2.1,4.0,9.1
604,Karl-Anthony Towns,C,24,MIN,35,35,1187,9.6,18.9,.508,3.5,8.4,.412,6.1,10.5,.586,5.5,6.9,.796,2.9,8.6,11.5,4.6,1.0,1.3,3.3,3.5,28.1
605,Gary Trent Jr.,SG,21,POR,61,8,1332,5.3,11.9,.444,3.0,7.2,.418,2.3,4.7,.486,1.0,1.2,.822,0.7,2.0,2.7,1.6,1.3,0.4,0.6,2.4,14.6
606,Allonzo Trier,PG,24,NYK,24,1,291,6.3,13.1,.481,2.4,6.6,.358,4.0,6.6,.604,4.2,5.3,.791,0.7,2.8,3.6,3.5,0.4,0.5,2.7,3.6,19.2
607,P.J. Tucker,PF,34,HOU,72,72,2467,2.6,6.2,.415,1.6,4.4,.358,1.0,1.9,.551,0.6,0.7,.813,1.6,5.3,6.9,1.7,1.1,0.5,1.1,3.3,7.3
608,Rayjon Tucker,SG,22,UTA,20,0,161,4.5,9.6,.465,0.7,3.8,.176,3.8,5.8,.654,4.2,5.1,.826,0.7,3.8,4.5,1.1,0.2,0.2,1.8,2.2,13.9
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Evan Turner,PG,31,ATL,19,0,251,3.6,9.6,.373,0.0,0.7,.000,3.6,8.9,.403,1.7,2.0,.857,1.1,4.3,5.5,5.5,1.3,1.1,3.7,2.9,8.9
611,Myles Turner,C,23,IND,62,62,1826,5.3,11.6,.457,1.7,4.9,.344,3.6,6.6,.540,2.5,3.3,.751,1.7,6.3,8.0,1.4,0.9,2.6,1.7,3.3,14.8
612,Jarrod Uthoff,SF,26,TOT,7,0,53,4.8,12.2,.389,2.0,6.1,.333,2.7,6.1,.444,1.4,1.4,1.000,1.4,2.7,4.1,0.0,0.7,0.0,0.0,1.4,12.9
613,Jarrod Uthoff,SF,26,MEM,4,0,14,2.6,18.0,.143,0.0,10.3,.000,2.6,7.7,.333,5.1,5.1,1.000,2.6,0.0,2.6,0.0,2.6,0.0,0.0,2.6,10.3
614,Jarrod Uthoff,SF,26,WAS,3,0,39,5.5,10.2,.545,2.8,4.6,.600,2.8,5.5,.500,0.0,0.0,,0.9,3.7,4.6,0.0,0.0,0.0,0.0,0.9,13.8
615,Jonas Valančiūnas,C,27,MEM,70,70,1845,8.4,14.4,.585,0.6,1.8,.352,7.8,12.6,.617,2.9,3.9,.740,4.2,11.2,15.4,2.6,0.6,1.5,2.5,3.6,20.4
616,Denzel Valentine,SF,26,CHI,36,5,488,7.2,17.5,.409,3.4,10.1,.336,3.8,7.4,.510,0.4,0.6,.750,0.7,4.8,5.5,3.2,1.9,0.4,1.9,3.8,18.1
617,Jarred Vanderbilt,SF-PF,20,TOT,11,0,46,3.9,6.3,.625,0.0,0.8,.000,3.9,5.5,.714,1.6,1.6,1.000,2.3,4.7,7.0,1.6,2.3,0.8,5.5,4.7,9.4
618,Jarred Vanderbilt,SF,20,DEN,9,0,41,4.4,6.1,.714,0.0,0.0,,4.4,6.1,.714,0.0,0.0,,2.6,4.4,7.0,1.8,2.6,0.9,6.1,5.3,8.8
619,Jarred Vanderbilt,PF,20,MIN,2,0,5,0.0,7.2,.000,0.0,7.2,.000,0.0,0.0,,14.4,14.4,1.000,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,14.4
620,Fred VanVleet,PG,25,TOR,54,54,1928,6.0,14.4,.413,2.7,7.0,.390,3.2,7.5,.434,3.1,3.7,.848,0.3,3.5,3.8,6.7,1.9,0.3,2.3,2.5,17.8
621,Gabe Vincent,PG,23,MIA,9,0,83,3.5,16.0,.216,2.6,11.7,.222,0.9,4.3,.200,0.0,0.0,,0.0,2.2,2.2,2.6,2.2,0.0,0.4,2.6,9.5
622,Noah Vonleh,C-PF,24,TOT,36,1,377,5.0,8.8,.565,0.3,1.4,.200,4.7,7.4,.636,2.4,3.1,.781,3.5,8.3,11.8,2.7,1.1,0.6,2.0,3.8,12.6
623,Noah Vonleh,C,24,MIN,29,1,347,4.9,8.9,.547,0.2,1.5,.143,4.7,7.5,.625,2.4,2.9,.821,3.5,8.5,12.0,2.7,1.1,0.6,2.0,3.7,12.3
624,Noah Vonleh,PF,24,DEN,7,0,30,6.0,7.2,.833,1.2,1.2,1.000,4.8,6.0,.800,2.4,4.8,.500,3.6,6.0,9.6,2.4,0.0,0.0,2.4,4.8,15.6
625,Nikola Vučević,C,29,ORL,62,62,1998,8.9,18.6,.477,1.8,5.2,.339,7.1,13.4,.531,2.4,3.0,.784,2.5,9.6,12.1,4.0,1.0,0.8,1.6,2.4,21.9
626,Dean Wade,PF,23,CLE,12,0,71,4.6,6.6,.692,1.0,2.0,.500,3.5,4.6,.778,0.0,0.5,.000,1.5,8.1,9.6,1.0,1.0,2.0,1.5,4.1,10.1
627,Moritz Wagner,C,22,WAS,45,5,835,6.3,11.5,.545,1.1,3.4,.313,5.2,8.0,.645,3.4,4.1,.821,2.4,7.0,9.4,2.4,1.2,0.8,2.8,6.6,16.9
628,Dion Waiters,SG,28,TOT,10,0,207,7.1,17.2,.414,2.6,8.2,.319,4.5,9.0,.500,2.4,3.0,.824,0.3,3.8,4.2,3.5,0.7,1.0,2.8,3.7,19.3
629,Dion Waiters,SG,28,MIA,3,0,42,8.6,22.3,.385,6.9,14.6,.471,1.7,7.7,.222,0.0,0.9,.000,0.0,9.4,9.4,2.6,0.0,1.7,2.6,4.3,24.0
630,Dion Waiters,SG,28,LAL,7,0,165,6.8,15.9,.425,1.5,6.5,.233,5.2,9.4,.558,3.1,3.5,.875,0.4,2.4,2.8,3.7,0.9,0.9,2.8,3.5,18.1
631,Kemba Walker,PG,29,BOS,56,56,1742,7.8,18.4,.425,3.7,9.8,.381,4.1,8.6,.476,4.3,5.0,.864,0.7,3.7,4.5,5.5,1.0,0.6,2.4,1.9,23.7
632,Lonnie Walker,SG,21,SAS,61,12,988,5.5,13.0,.426,1.5,3.7,.406,4.0,9.3,.434,1.6,2.2,.721,0.8,4.2,5.1,2.5,1.2,0.5,1.6,2.8,14.2
633,Tyrone Wallace,SG,25,ATL,14,0,160,3.2,9.9,.318,0.2,3.4,.067,2.9,6.5,.448,2.5,3.8,.647,0.7,4.3,5.0,2.9,1.6,0.2,2.3,4.3,9.0
634,Taurean Prince,SF,25,BRK,64,61,1857,5.4,14.3,.376,2.8,8.4,.339,2.6,6.0,.429,1.4,1.7,.798,1.0,6.4,7.4,2.2,1.1,0.5,2.5,3.1,15.0
635,Derrick Walton,PG,24,TOT,26,1,248,2.6,5.7,.462,1.5,3.5,.417,1.2,2.2,.533,1.0,1.3,.778,0.3,2.0,2.3,3.9,1.0,0.0,0.7,3.0,7.7
636,Derrick Walton,PG,24,LAC,23,1,222,2.8,5.8,.472,1.5,3.4,.429,1.3,2.4,.533,1.1,1.5,.778,0.3,2.1,2.4,3.6,0.6,0.0,0.6,3.1,8.1
637,Derrick Walton,PG,24,DET,3,0,26,1.4,4.2,.333,1.4,4.2,.333,0.0,0.0,,0.0,0.0,,0.0,1.4,1.4,6.9,4.2,0.0,1.4,2.8,4.2
638,Brad Wanamaker,PG,30,BOS,71,1,1369,4.3,9.5,.448,1.0,2.7,.363,3.3,6.8,.481,3.3,3.6,.926,0.6,3.2,3.8,4.7,1.6,0.4,2.0,3.5,12.8
639,T.J. Warren,SF,26,IND,67,67,2202,8.7,16.3,.536,1.5,3.7,.403,7.2,12.6,.575,2.7,3.3,.819,1.1,3.5,4.6,1.6,1.3,0.6,1.4,3.1,21.7
640,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,P.J. Washington,PF,21,CHO,58,57,1759,5.5,12.1,.455,1.8,4.7,.374,3.7,7.3,.507,1.8,2.8,.647,1.2,5.3,6.5,2.5,1.0,0.9,1.9,3.2,14.5
642,Yuta Watanabe,SG,25,MEM,18,0,105,5.1,11.7,.441,1.0,2.7,.375,4.1,8.9,.462,1.0,2.7,.375,2.4,4.5,6.9,1.7,1.7,0.3,0.7,3.1,12.3
643,Tremont Waters,PG,22,BOS,11,1,119,4.2,14.8,.286,1.2,7.3,.167,3.0,7.6,.400,2.4,2.4,1.000,0.0,3.6,3.6,4.8,3.0,0.6,4.5,3.9,12.1
644,Paul Watson,SF-SG,25,TOT,10,0,87,4.1,10.8,.385,1.7,5.0,.333,2.5,5.8,.429,2.9,3.7,.778,0.8,6.2,7.0,3.3,1.7,0.4,1.2,2.1,12.8
645,Paul Watson,SG,25,ATL,2,0,17,0.0,14.8,.000,0.0,6.4,.000,0.0,8.5,.000,0.0,0.0,,0.0,4.2,4.2,6.4,2.1,0.0,0.0,2.1,0.0
646,Paul Watson,SF,25,TOR,8,0,70,5.1,9.8,.526,2.1,4.6,.444,3.1,5.1,.600,3.6,4.6,.778,1.0,6.7,7.7,2.6,1.5,0.5,1.5,2.1,15.9
647,Quinndary Weatherspoon,SG,23,SAS,11,0,78,2.3,7.8,.294,0.5,2.3,.200,1.8,5.5,.333,0.5,0.9,.500,0.5,2.8,3.2,5.1,1.4,0.5,2.3,3.7,5.5
648,Russell Westbrook,PG,31,HOU,57,57,2049,10.6,22.5,.472,1.0,3.7,.258,9.6,18.8,.514,5.1,6.7,.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.3
649,Coby White,SG,19,CHI,65,1,1674,6.7,17.0,.394,2.9,8.1,.354,3.8,8.9,.430,2.2,2.8,.791,0.6,4.3,4.9,3.8,1.1,0.1,2.3,2.5,18.5
650,Derrick White,SG,25,SAS,68,20,1677,5.4,11.8,.458,1.7,4.6,.366,3.7,7.2,.518,3.9,4.5,.853,0.8,4.0,4.8,5.2,0.9,1.3,1.9,3.3,16.4
651,Hassan Whiteside,C,30,POR,67,61,2008,7.8,12.6,.621,0.1,0.1,.571,7.7,12.5,.622,2.9,4.3,.686,4.6,11.6,16.2,1.4,0.5,3.5,2.2,3.5,18.6
652,Andrew Wiggins,SF-SG,24,TOT,54,54,1858,8.5,18.9,.447,2.2,6.5,.332,6.3,12.5,.506,3.7,5.2,.709,1.3,4.0,5.3,3.8,0.9,1.0,2.6,2.5,22.8
653,Andrew Wiggins,SF,24,MIN,42,42,1455,8.7,19.5,.444,2.3,6.8,.331,6.4,12.7,.505,3.7,5.1,.720,1.2,4.2,5.4,3.8,0.7,0.9,2.6,2.5,23.3
654,Andrew Wiggins,SG,24,GSW,12,12,403,7.7,16.8,.457,1.8,5.3,.339,5.9,11.5,.512,3.7,5.4,.672,1.6,3.3,4.9,3.8,1.4,1.5,2.2,2.3,20.8
655,Grant Williams,PF,21,BOS,69,5,1043,3.0,7.3,.412,0.8,3.3,.250,2.2,4.0,.548,1.3,1.9,.722,2.0,4.1,6.1,2.3,1.0,1.2,1.7,5.6,8.2
656,Johnathan Williams,C,24,WAS,15,6,180,3.8,6.8,.559,0.0,0.4,.000,3.8,6.4,.594,1.4,2.6,.538,4.8,8.0,12.8,1.6,0.2,1.6,1.0,3.2,9.0
657,Kenrich Williams,PF,25,NOP,39,18,832,2.2,6.4,.347,1.1,4.2,.258,1.1,2.2,.520,0.4,1.1,.346,2.2,5.8,8.0,2.5,1.2,0.9,1.0,3.8,5.9
658,Lou Williams,SG,33,LAC,65,8,1864,7.6,18.1,.418,2.1,6.1,.352,5.4,12.0,.451,5.6,6.5,.861,0.6,3.3,3.9,7.0,0.8,0.2,3.5,1.5,22.9
659,Marvin Williams,PF,33,TOT,58,1,1129,3.8,8.5,.446,1.8,5.0,.359,2.0,3.5,.568,1.6,1.8,.860,1.0,4.9,5.8,1.9,1.1,1.0,1.1,3.3,10.9
660,Marvin Williams,PF,33,CHO,41,1,808,4.2,9.4,.448,2.0,5.2,.376,2.2,4.1,.538,1.9,2.2,.860,0.7,4.2,4.9,1.8,1.2,1.0,1.1,3.2,12.3
661,Marvin Williams,PF,33,MIL,17,0,321,2.8,6.4,.439,1.3,4.4,.308,1.5,2.0,.722,0.7,0.8,.857,1.7,6.6,8.3,2.1,1.1,0.9,0.9,3.6,7.6
662,Robert Williams,C,22,BOS,29,1,388,5.9,8.2,.727,0.0,0.0,,5.9,8.2,.727,2.0,3.2,.647,3.7,8.2,11.9,2.5,2.0,3.2,1.9,4.7,13.9
663,Nigel Williams-Goss,PG,25,UTA,10,0,50,3.6,11.5,.313,1.4,5.0,.286,2.2,6.5,.333,1.4,1.4,1.000,1.4,2.9,4.3,4.3,2.2,0.7,2.2,4.3,10.1
664,Zion Williamson,PF,19,NOP,24,24,668,11.3,19.4,.583,0.3,0.8,.429,11.0,18.6,.590,6.1,9.6,.640,3.4,4.6,8.1,2.7,0.9,0.5,3.2,2.3,29.1
665,D.J. Wilson,PF,23,MIL,37,1,363,5.2,13.1,.394,1.8,7.2,.247,3.4,5.9,.576,1.1,1.8,.611,1.2,7.9,9.1,2.5,0.3,0.5,1.9,3.3,13.2
666,Justise Winslow,SF,23,MIA,11,5,352,5.1,13.2,.388,0.6,2.8,.222,4.5,10.4,.431,1.8,2.8,.667,1.6,5.8,7.5,4.5,0.7,0.5,2.5,3.9,12.7
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Christian Wood,PF,24,DET,62,12,1325,7.8,13.8,.567,1.5,3.8,.386,6.4,10.0,.636,4.9,6.6,.744,2.8,7.8,10.6,1.6,0.9,1.5,2.3,2.7,22.0
669,Delon Wright,SG,27,DAL,73,5,1570,4.4,9.4,.462,1.1,2.9,.370,3.3,6.5,.504,1.8,2.3,.770,1.6,4.8,6.4,5.6,1.9,0.5,1.7,2.1,11.6
670,Justin Wright-Foreman,PG,22,UTA,4,0,45,5.6,16.0,.350,1.6,8.0,.200,4.0,8.0,.500,2.4,3.2,.750,0.0,4.0,4.0,5.6,1.6,0.0,2.4,4.0,15.2
671,Thaddeus Young,PF,31,CHI,64,16,1591,6.1,13.6,.448,1.8,5.0,.356,4.3,8.6,.501,1.0,1.6,.583,2.1,5.0,7.1,2.6,2.1,0.5,2.3,3.0,14.9
672,Trae Young,PG,21,ATL,60,60,2120,9.3,21.2,.437,3.5,9.6,.361,5.8,11.6,.501,8.2,9.5,.860,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2
673,Cody Zeller,C,27,CHO,58,39,1341,6.7,12.9,.524,0.5,2.0,.240,6.3,10.8,.577,3.3,4.8,.682,4.3,6.7,11.0,2.4,1.1,0.7,2.0,3.8,17.2
674,Tyler Zeller,C,30,SAS,2,0,4,9.0,36.0,.250,0.0,0.0,,9.0,36.0,.250,0.0,0.0,,27.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0
675,Ante Žižić,C,23,CLE,22,0,221,6.7,11.7,.569,0.0,0.0,,6.7,11.7,.569,2.3,3.1,.737,2.9,7.8,10.8,1.0,1.1,0.8,1.6,4.4,15.6
676,Ivica Zubac,C,22,LAC,72,70,1326,6.4,10.5,.613,0.0,0.1,.000,6.4,10.4,.616,3.4,4.5,.747,5.3,9.4,14.7,2.2,0.4,1.8,1.7,4.6,16.2
