,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
492,Victor Oladipo,SG,27,IND,19,16,528,6.6,16.8,.394,2.3,7.1,.317,4.4,9.7,.451,3.3,4.0,.814,0.6,4.5,5.1,3.8,1.2,0.3,3.2,2.5,18.7
493,Kelly Olynyk,C,28,MIA,67,9,1300,5.1,11.0,.462,2.6,6.5,.406,2.5,4.5,.543,2.4,2.8,.860,1.2,7.2,8.4,3.2,1.2,0.6,2.0,4.8,15.2
494,Miye Oni,SG,22,UTA,10,1,109,4.0,10.6,.375,2.3,6.3,.368,1.7,4.3,.385,1.3,1.7,.800,1.7,4.0,5.6,1.3,1.3,0.7,1.3,3.0,11.6
495,Cedi Osman,SF,24,CLE,65,65,1910,5.0,11.5,.437,2.3,6.1,.383,2.7,5.4,.497,1.2,1.8,.670,0.7,3.6,4.4,2.9,1.0,0.3,1.7,3.0,13.5
496,Kelly Oubre Jr.,SF,24,PHO,56,55,1933,6.9,15.4,.452,2.0,5.7,.352,4.9,9.7,.511,3.6,4.6,.780,1.2,5.5,6.7,1.6,1.3,0.7,1.5,3.6,19.5
497,Tariq Owens,PF,24,PHO,3,0,15,2.4,12.0,.200,0.0,4.8,.000,2.4,7.2,.333,4.8,4.8,1.000,4.8,2.4,7.2,0.0,2.4,0.0,0.0,2.4,9.6
498,Jeremy Pargo,PG,33,GSW,3,0,44,9.0,18.0,.500,2.5,5.7,.429,6.5,12.3,.533,0.0,0.8,.000,0.8,1.6,2.5,6.5,0.8,0.0,3.3,6.5,20.5
499,Jabari Parker,PF,24,TOT,38,23,917,8.6,16.8,.510,1.3,4.7,.269,7.3,12.2,.603,2.4,3.2,.753,2.4,6.0,8.4,2.7,1.8,0.6,2.5,3.9,20.8
500,Jabari Parker,PF,24,ATL,32,23,837,8.5,16.9,.504,1.3,4.9,.270,7.2,12.0,.601,2.3,3.1,.736,2.3,5.9,8.2,2.5,1.8,0.6,2.6,4.0,20.6
501,Jabari Parker,PF,24,SAC,6,0,80,9.5,16.2,.583,0.5,1.8,.250,9.0,14.4,.625,3.6,4.1,.889,3.2,7.2,10.4,4.5,1.4,0.5,1.8,2.7,23.0
502,Chandler Parsons,SF,31,ATL,5,0,54,3.3,12.0,.278,2.7,9.3,.286,0.7,2.7,.250,0.0,0.0,,0.7,4.0,4.7,2.0,2.7,0.7,2.0,2.0,9.3
503,Eric Paschall,PF,23,GSW,60,26,1654,6.9,13.9,.497,0.8,2.8,.287,6.1,11.1,.550,3.6,4.6,.774,1.8,4.2,6.0,2.8,0.7,0.3,2.0,2.7,18.2
504,Anžejs Pasečņiks,C,24,WAS,27,0,437,5.0,9.6,.526,0.0,0.2,.000,5.0,9.3,.540,2.8,4.8,.586,3.5,5.4,8.8,1.5,0.7,1.0,2.0,6.2,12.9
505,Patrick Patterson,PF,30,LAC,59,18,776,4.4,10.8,.408,3.1,8.0,.390,1.3,2.8,.459,1.6,2.0,.814,1.6,5.4,7.0,1.9,0.3,0.1,1.0,2.5,13.5
506,Justin Patton,C,22,OKC,5,0,24,6.0,15.0,.400,1.5,6.0,.250,4.5,9.0,.500,0.0,0.0,,1.5,6.0,7.5,3.0,0.0,0.0,3.0,6.0,13.5
507,Chris Paul,PG,34,OKC,70,70,2208,7.1,14.5,.489,1.8,5.0,.365,5.3,9.5,.554,4.1,4.5,.907,0.4,5.3,5.7,7.7,1.8,0.2,2.6,2.6,20.1
508,Cameron Payne,PG,25,PHO,8,0,183,6.5,13.4,.485,3.0,5.7,.517,3.5,7.7,.462,1.2,1.4,.857,0.8,5.3,6.1,4.7,1.6,0.4,2.2,3.9,17.1
509,Elfrid Payton,PG,25,NYK,45,36,1246,5.6,12.7,.439,0.4,2.0,.203,5.2,10.7,.482,1.4,2.5,.570,1.5,4.6,6.1,9.3,2.0,0.5,2.8,2.6,13.0
510,Gary Payton II,PG,27,WAS,29,17,432,4.0,9.7,.414,1.1,3.8,.283,2.9,5.8,.500,0.3,0.7,.500,2.2,4.5,6.7,4.0,2.7,0.6,1.7,4.5,9.4
511,Norvel Pelle,C,26,PHI,24,0,232,3.9,7.4,.521,0.0,0.2,.000,3.9,7.3,.532,1.1,2.2,.500,3.1,8.1,11.2,1.2,0.5,4.8,2.8,8.5,8.8
512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Theo Pinson,SG,24,BRK,33,0,365,4.4,15.3,.290,1.5,7.9,.188,3.0,7.4,.400,1.5,1.6,.938,1.0,4.3,5.3,5.5,1.7,0.4,3.3,3.5,11.8
514,Mason Plumlee,C,29,DEN,61,1,1057,6.0,9.8,.615,0.0,0.2,.000,6.0,9.6,.625,2.8,5.3,.535,3.3,7.5,10.8,5.2,1.1,1.3,2.8,4.9,14.9
515,Jakob Poeltl,C,24,SAS,66,18,1171,5.1,8.2,.624,0.0,0.0,,5.1,8.2,.624,1.2,2.6,.465,4.0,7.5,11.5,3.6,1.1,2.9,1.7,3.9,11.4
516,Vincent Poirier,C,26,BOS,22,0,130,4.7,10.0,.472,0.3,0.6,.500,4.4,9.4,.471,1.7,1.9,.857,3.6,8.3,11.9,2.2,0.6,2.5,2.2,6.9,11.4
517,Shamorie Ponds,PG,21,TOR,4,0,11,9.8,16.4,.600,3.3,6.5,.500,6.5,9.8,.667,6.5,6.5,1.000,0.0,3.3,3.3,6.5,0.0,3.3,0.0,6.5,29.5
518,Jordan Poole,SG,20,GSW,57,14,1274,4.7,14.2,.333,2.1,7.5,.279,2.6,6.7,.392,2.7,3.4,.798,0.3,3.1,3.3,3.8,1.0,0.3,2.1,2.7,14.2
519,Kevin Porter Jr.,SF,19,CLE,50,3,1162,5.8,13.0,.442,1.6,4.9,.335,4.1,8.1,.506,2.3,3.1,.723,0.7,4.3,5.0,3.4,1.4,0.4,2.9,4.2,15.4
