,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
276,Shaquille Harrison,SF,26,CHI,43,10,484,7.7,16.4,.467,1.6,4.2,.381,6.1,12.2,.496,3.9,5.0,.780,2.2,6.4,8.6,4.9,3.4,1.9,1.9,5.5,20.8,,116,105
277,Josh Hart,SF,24,NOP,65,16,1755,5.9,14.0,.423,3.2,9.3,.342,2.7,4.7,.584,2.2,3.0,.739,1.6,9.6,11.2,2.8,1.7,0.6,2.0,4.2,17.3,,110,111
278,Isaiah Hartenstein,C,21,HOU,23,2,266,7.7,11.7,.657,0.0,0.9,.000,7.7,10.8,.710,3.3,4.9,.679,5.0,10.6,15.7,3.1,1.6,2.1,2.8,7.1,18.6,,128,107
279,Udonis Haslem,PF,39,MIA,4,1,44,4.4,12.2,.364,1.1,3.3,.333,3.3,8.9,.375,3.3,4.4,.750,1.1,16.6,17.7,1.1,0.0,0.0,1.1,6.7,13.3,,97,109
280,Jaxson Hayes,C,19,NOP,64,14,1080,7.5,11.1,.672,0.0,0.2,.250,7.4,10.9,.678,5.3,8.1,.647,4.2,6.9,11.1,2.4,1.1,2.4,2.3,6.9,20.2,,131,111
281,Gordon Hayward,SF,29,BOS,52,52,1740,9.7,19.4,.500,2.4,6.2,.383,7.4,13.3,.554,3.4,4.0,.855,1.5,8.1,9.7,5.9,1.1,0.6,2.7,2.7,25.2,,118,109
282,John Henson,PF,29,TOT,40,8,600,7.7,13.9,.556,0.7,2.9,.222,7.1,11.0,.644,1.9,3.7,.500,3.7,9.4,13.2,4.4,2.0,3.4,2.9,6.3,18.0,,112,109
283,John Henson,PF,29,CLE,29,2,412,7.2,14.2,.508,0.7,3.7,.194,6.5,10.5,.618,2.0,3.9,.515,3.8,9.7,13.5,5.1,1.9,3.8,2.5,6.5,17.1,,112,109
284,John Henson,PF,29,DET,11,6,188,8.9,13.3,.667,0.5,1.3,.400,8.4,12.0,.696,1.6,3.4,.462,3.7,8.9,12.6,2.9,2.1,2.6,3.9,6.0,19.9,,112,108
285,Dewan Hernandez,C,23,TOR,6,0,28,8.5,23.8,.357,1.7,3.4,.500,6.8,20.4,.333,5.1,8.5,.600,8.5,15.3,23.8,5.1,1.7,0.0,5.1,10.2,23.8,,95,101
