,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
85,Malcolm Brogdon,PG,27,IND,54,1666,58%,41%,1%,,,2.8,0.8,72,36,42,14,58,9,870,12,53
86,Dillon Brooks,SG,24,MEM,73,2112,,68%,32%,,,-1.0,-0.6,52,30,119,22,91,19,356,24,38
87,Bruce Brown,SG,23,DET,58,1634,26%,57%,18%,,,-3.8,0.6,61,25,85,9,54,9,550,11,43
88,Charlie Brown,SG,22,ATL,10,40,10%,57%,33%,,,37.0,45.5,2,0,2,0,3,1,5,1,0
89,Jaylen Brown,SF,23,BOS,57,1934,,50%,46%,4%,,6.1,-0.8,42,46,65,15,111,8,280,25,66
90,Moses Brown,C,20,POR,9,33,,,,,100%,-45.7,-45.2,2,0,6,1,4,0,2,0,0
91,Sterling Brown,SF,24,MIL,52,767,1%,30%,61%,8%,,4.8,-6.6,21,9,27,7,21,2,123,7,30
92,Troy Brown Jr.,SG,20,WAS,69,1782,,21%,68%,11%,,-6.0,-3.0,38,22,53,10,61,14,421,17,46
93,Jalen Brunson,PG,23,DAL,57,1022,96%,4%,,,,8.1,4.5,33,16,32,9,30,26,477,12,11
94,Thomas Bryant,C,22,WAS,46,1147,,,,6%,94%,-7.4,-4.2,17,9,48,18,62,4,189,22,14
95,Reggie Bullock,SG,28,NYK,29,684,2%,72%,26%,,,-5.4,1.2,10,5,25,1,9,6,96,4,9
96,Trey Burke,PG,27,TOT,33,520,98%,3%,,,,2.4,-1.4,12,2,10,6,10,3,199,3,15
97,Trey Burke,PG,27,PHI,25,329,100%,,,,,4.9,2.8,8,0,5,3,5,1,125,2,8
98,Trey Burke,PG,27,DAL,8,191,93%,7%,,,,-1.5,-6.8,4,2,5,3,5,2,74,1,7
99,Alec Burks,SG,28,TOT,66,1754,7%,45%,46%,2%,,-6.3,-4.5,57,14,48,13,120,18,438,27,43
100,Alec Burks,SG,28,GSW,48,1390,8%,42%,49%,2%,,-9.2,-0.7,46,14,40,9,101,15,342,20,33
101,Alec Burks,SG,28,PHI,18,364,5%,54%,38%,3%,,5.1,3.1,11,0,8,4,19,3,96,7,10
102,,,,,,,,,,,,,,,,,,,,,,
103,Deonte Burton,SG,26,OKC,39,356,11%,46%,38%,6%,,-11.7,-15.0,8,3,18,3,7,1,44,4,7
104,Jimmy Butler,SF,30,MIA,58,1959,,,53%,46%,1%,5.8,6.4,77,17,29,19,232,4,851,48,45
105,Bruno Caboclo,C,24,TOT,30,244,,,,8%,92%,-4.6,-5.9,7,4,20,2,4,3,28,1,5
106,Bruno Caboclo,C,24,MEM,22,192,,,,10%,90%,-3.1,-2.5,3,2,16,2,2,3,22,1,4
107,Bruno Caboclo,C,24,HOU,8,52,,,,,100%,-10.2,-13.4,4,2,4,0,2,0,6,0,1
108,Devontae Cacok,C,23,LAL,1,9,,,,,100%,17.5,11.8,0,0,0,0,0,0,2,0,0
